subject,data,modality,layer,contrast,focus,runType,session,design,statType
sub-06,76.37390581199101,VASO,3,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,113.56198906226896,VASO,4,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,155.58102929265533,VASO,5,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,179.44612382587633,VASO,6,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,204.05311937474494,VASO,7,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,198.19786018049214,VASO,8,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,163.51305567075127,VASO,9,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,84.94999333416543,VASO,10,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,35.678888076390976,VASO,11,visuotactile,v1,blockStim,ses-001,blockStim,cope
sub-06,132.88237348846766,VASO,1,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,210.65891509056092,VASO,2,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,277.841713305882,VASO,3,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,345.7990625005373,VASO,4,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,387.11372727237335,VASO,5,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,398.54496679807966,VASO,6,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,403.34879337139984,VASO,7,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,383.82623876652247,VASO,8,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,324.5085885026684,VASO,9,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,255.87179816641458,VASO,10,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,181.6049062686089,VASO,11,visuotactile,v1,eventStim,ses-001,eventStim,cope
sub-06,0.10322406100617214,BOLD,1,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,0.26623743318993115,BOLD,2,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,0.6533752412360627,BOLD,3,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,1.3347973790879433,BOLD,4,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,1.9030882743570734,BOLD,5,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,2.507502512786434,BOLD,6,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,3.30278119466443,BOLD,7,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,4.597345070961194,BOLD,8,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,6.164914516302256,BOLD,9,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,7.617917918087391,BOLD,10,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,7.59472186057294,BOLD,11,visuotactile,s1,blockStim,ses-001,blockStim,zstat
sub-06,1.1948141491209918,BOLD,1,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,1.7700056293304416,BOLD,2,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,2.331773545127362,BOLD,3,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,3.264152165187093,BOLD,4,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,4.505976773442372,BOLD,5,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,5.828382540494204,BOLD,6,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,7.409517597461092,BOLD,7,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,8.311888480797792,BOLD,8,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,8.436932148077549,BOLD,9,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,7.75060974614004,BOLD,10,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,6.834908809818205,BOLD,11,visuotactile,s1,eventStim,ses-001,eventStim,zstat
sub-06,6.473960846662521,BOLD,1,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-06,13.610125693722047,BOLD,2,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-06,29.840115173108643,BOLD,3,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-06,59.14010805854431,BOLD,4,visuotactile,s1,blockStim,ses-001,blockStim,cope
sub-06,83.9663799405098,BOLD,5,visuotactile,s1,blockStim,ses-001,blockStim,cope
